0.093 0.380343 -nan -nan 7.16985 0.127048 -nan -nan 0.817984 -nan -nan 3 -nan -nan
0.05022 0.212247 7.95068 -1809.55 4.66267 0.169354 0.125855 0.25171 0.1802 5.71099 10.111 1 60.9801 11.5841
0.04929 0.208016 7.87291 -1809.9 4.5939 0.171379 0.132679 0.265358 0.173768 5.61104 10.0551 1 58.5687 11.2143
0.04836 0.203746 7.79375 -1810.26 4.52443 0.173475 0.139842 0.279683 0.167493 5.51249 10.0004 1 56.2361 10.8545
0.04743 0.199437 7.71314 -1810.62 4.45424 0.175648 0.147364 0.294728 0.161374 5.41533 9.94674 1 53.9813 10.5045
0.0465 0.195091 7.63107 -1810.99 4.38331 0.1779 0.15527 0.310539 0.155407 5.31958 9.89436 1 51.8037 10.1644
0.04557 0.190708 7.54749 -1811.37 4.31162 0.180235 0.163584 0.327169 0.149588 5.22523 9.84328 1 49.7013 9.83383
0.04464 0.186289 7.46237 -1811.75 4.23913 0.18266 0.172336 0.344673 0.143918 5.13234 9.79364 1 47.6744 9.51308
0.04371 0.181835 7.37567 -1812.14 4.16582 0.185177 0.181556 0.363113 0.138392 5.0409 9.7455 1 45.7215 9.20199
0.04278 0.177349 7.28737 -1812.53 4.09164 0.187793 0.191279 0.382558 0.133009 4.95093 9.69899 1 43.8412 8.90048
0.04185 0.17283 7.19071 -1812.94 4.01657 0.197211 0.201542 0.403085 0.127767 4.86246 9.65421 1 42.0327 8.60852
0.04092 0.168282 7.099 -1813.35 3.94056 0.200102 0.212388 0.424775 0.122663 4.7755 9.61128 1 40.2945 8.32606
0.03999 0.163706 7.00556 -1813.76 3.86356 0.203112 0.223862 0.447724 0.117696 4.69009 9.57034 1 38.6257 8.05303
0.03906 0.159104 6.91034 -1814.18 3.78553 0.206248 0.236018 0.472036 0.112863 4.60624 9.53152 1 37.0248 7.78939
0.03813 0.154478 6.8133 -1814.6 3.7064 0.209518 0.248914 0.497827 0.108164 4.52398 9.49497 1 35.4906 7.53506
0.0372 0.149831 6.7144 -1815.03 3.62612 0.212929 0.262615 0.525229 0.103596 4.44336 9.46086 1 34.0219 7.29003
0.03627 0.145166 6.61358 -1815.47 3.54462 0.216493 0.277195 0.55439 0.0991567 4.3644 9.42939 1 32.6175 7.05428
0.03534 0.140486 6.51081 -1815.91 3.46185 0.220218 0.292738 0.585476 0.0948448 4.2871 9.40068 1 31.2756 6.82761
0.03441 0.135794 6.40602 -1816.36 3.37769 0.224116 0.30934 0.618679 0.090659 4.21156 9.37503 1 29.9957 6.61019
0.03348 0.131093 6.29916 -1816.82 3.29208 0.2282 0.327107 0.654214 0.0865974 4.1378 9.35264 1 28.7763 6.40193
0.03255 0.126387 6.19017 -1817.28 3.20491 0.232483 0.346165 0.69233 0.0826583 4.06586 9.33376 1 27.6163 6.20281
0.03162 0.121681 6.07899 -1817.75 3.11608 0.23698 0.366654 0.733307 0.0788396 3.99578 9.31866 1 26.5142 6.01277
0.03069 0.116979 5.96557 -1818.22 3.02548 0.241708 0.388738 0.777476 0.0751401 3.92764 9.30767 1 25.4695 5.83194
0.02976 0.112284 5.84982 -1818.7 2.93296 0.246685 0.412606 0.825212 0.071558 3.86149 9.30113 1 24.4809 5.66029
0.02883 0.107602 5.73167 -1819.19 2.83838 0.251932 0.438476 0.876953 0.0680916 3.7974 9.29941 1 23.5474 5.49787
0.0279 0.102938 5.61104 -1819.68 2.74159 0.257471 0.466604 0.933208 0.0647391 3.73543 9.3029 1 22.668 5.34472
0.02697 0.0982978 5.48784 -1820.18 2.64241 0.263327 0.497287 0.994573 0.0614988 3.67565 9.31204 1 21.8418 5.20091
