0.097 0.392649 -nan -nan 7.28421 0 -nan -nan 0.999368 -nan -nan 3 -nan -nan
0.096 0.388386 -nan -nan 7.24439 0 -nan -nan 0.94892 -nan -nan 3 -nan -nan
0.095 0.384209 -nan -nan 7.20382 0 -nan -nan 0.902556 -nan -nan 3 -nan -nan
0.094 0.380111 -nan -nan 7.16249 0 -nan -nan 0.859809 -nan -nan 3 -nan -nan
0.093 0.376086 -nan -nan 7.12041 0 -nan -nan 0.820282 -nan -nan 3 -nan -nan
0.092 0.372128 -nan -nan 7.07759 0 -nan -nan 0.783633 -nan -nan 3 -nan -nan
0.046 0.190008 7.67186 -1811.18 4.26303 0 0.158692 0.317384 0.151378 5.22029 9.79508 1 49.4207 9.75264
0.045 0.185284 7.58231 -1811.59 4.18392 0 0.167863 0.335726 0.14528 5.12251 9.74422 1 47.31 9.42005
0.044 0.180521 7.49101 -1812 4.10382 0 0.177559 0.355119 0.139346 5.02621 9.69488 1 45.2765 9.09736
0.043 0.175719 7.39791 -1812.42 4.02266 0 0.187824 0.375647 0.133575 4.93151 9.64727 1 43.321 8.78485
0.042 0.170881 7.30297 -1812.85 3.94041 0 0.198701 0.397402 0.127964 4.8384 9.60151 1 41.442 8.48242
0.041 0.166009 7.20615 -1813.28 3.85701 0 0.210243 0.420487 0.12251 4.74694 9.55776 1 39.6386 8.1901
0.04 0.161105 7.10741 -1813.72 3.77239 0 0.222508 0.445016 0.117212 4.65716 9.51621 1 37.91 7.90792
0.039 0.156172 7.00668 -1814.17 3.6865 0 0.235559 0.471118 0.112066 4.56907 9.47698 1 36.2544 7.63575
0.038 0.151212 6.90393 -1814.62 3.59925 0 0.249471 0.498942 0.107071 4.48277 9.44036 1 34.6717 7.37378
0.037 0.14623 6.79909 -1815.08 3.51057 0 0.264326 0.528651 0.102225 4.39825 9.40649 1 33.1596 7.1218
0.036 0.141228 6.69213 -1815.55 3.42035 0 0.280218 0.560437 0.097526 4.3156 9.37565 1 31.7179 6.87998
0.035 0.13621 6.58297 -1816.02 3.32852 0 0.297257 0.594513 0.092971 4.23484 9.34805 1 30.3444 6.64817
0.034 0.131181 6.47157 -1816.51 3.23494 0 0.315565 0.63113 0.0885589 4.15605 9.32403 1 29.0388 6.42652
0.033 0.126144 6.35787 -1817 3.1395 0 0.335286 0.670571 0.0842876 4.07929 9.30387 1 27.7995 6.215
0.032 0.121106 6.24179 -1817.49 3.04207 0 0.356584 0.713168 0.0801549 4.00462 9.28792 1 26.6254 6.01365
0.031 0.116071 6.12326 -1817.99 2.94248 0 0.379652 0.759304 0.076159 3.93212 9.27655 1 25.5154 5.82249
0.03 0.111044 6.00223 -1818.5 2.84057 0 0.404713 0.809427 0.0722977 3.86185 9.27017 1 24.4683 5.6416
0.029 0.106032 5.8786 -1819.02 2.73616 0 0.43203 0.86406 0.068569 3.7939 9.26923 1 23.4829 5.47102
0.028 0.10104 5.75229 -1819.55 2.62902 0 0.46191 0.92382 0.0649711 3.72837 9.27426 1 22.5586 5.31091
0.027 0.0960763 5.62321 -1820.08 2.51891 0 0.494719 0.989437 0.0615018 3.66534 9.28578 1 21.6943 5.16133
0.026 0.0911468 5.49126 -1820.61 2.40558 0 0.530887 1.06177 0.0581589 3.60491 9.30441 1 20.889 5.02243
0.025 0.086259 5.35632 -1821.16 2.28872 0 0.570931 1.14186 0.0549404 3.54718 9.33081 1 20.142 4.89436
0.024 0.0814208 5.21827 -1821.71 2.16797 0 0.615466 1.23093 0.0518437 3.49224 9.36568 1 19.4523 4.77726
0.023 0.0766399 5.07697 -1822.27 2.04295 0 0.665238 1.33048 0.0488669 3.44021 9.40981 1 18.8194 4.67133
0.022 0.0719246 4.93226 -1822.83 1.91321 0 0.721146 1.44229 0.0460072 3.39119 9.46404 1 18.2425 4.57679
0.021 0.0672834 4.78395 -1823.41 1.77821 0 0.784286 1.56857 0.0432623 3.34527 9.5293 1 17.721 4.49385
0.02 0.0627249 4.63183 -1823.99 1.63736 0 0.856004 1.71201 0.0406296 3.30255 9.60657 1 17.2543 4.42278
0.019 0.0582578 4.47566 -1824.57 1.48995 0 0.937964 1.87593 0.0381061 3.26311 9.69693 1 16.8418 4.36383
0.018 0.0538911 4.31513 -1825.17 1.33514 0 1.03224 2.06449 0.0356891 3.22706 9.80156 1 16.4833 4.31736
0.017 0.0496337 4.14991 -1825.77 1.17194 0 1.14146 2.28293 0.0333754 3.19446 9.92176 1 16.1784 4.28374
0.016 0.0454943 3.97957 -1826.38 0.999143 0 1.26897 2.53795 0.0311618 3.1654 10.059 1 15.9273 4.26343
0.015 0.0414818 3.80362 -1827 0.815287 0 1.41913 2.83825 0.029045 3.14 10.215 1 15.7305 4.25714
0.014 0.0376045 3.62144 -1827.63 0.61858 0 1.59768 3.19537 0.0270209 3.11837 10.3919 1 15.5894 4.26574
0.013 0.0338709 3.43229 -1828.27 0.406743 0 1.81246 3.62492 0.0250858 3.10076 10.5923 1 15.5074 4.29076
0.012 0.0302887 3.23523 -1828.93 0.17689 0 2.07435 4.1487 0.0232352 3.08754 10.8201 1 15.4903 4.33452
0.011 0.0268656 3.02911 -1829.59 -0.0747622 0 2.39912 4.79824 0.0214645 3.07943 11.0806 1 15.5494 4.40104
0.01 0.0236087 2.81248 -1830.28 -0.353273 0 2.81056 5.62113 0.0197684 3.07764 11.3822 1 15.7053 4.49719
0.009 0.0205247 2.5835 -1830.99 -0.665602 0 3.34649 6.69297 0.0181409 3.08433 11.7384 1 15.9948 4.63511
0.008 0.0176202 2.33991 -1831.72 -1.02172 0 4.07074 8.14148 0.0165754 3.10336 12.1715 1 16.4861 4.83675
0.007 0.0149015 2.0789 -1832.48 -1.43649 0 5.09897 10.1979 0.0150637 3.14141 12.7198 1 17.3042 5.14259
0.006 0.0123753 1.79726 -1833.29 -1.9334 0 6.65821 13.3164 0.0135962 3.21002 13.4494 1 18.6858 5.62932
0.005 0.0100489 1.49183 -1834.14 -2.55236 0 9.23731 18.4746 0.0121598 3.32848 14.4745 1 21.0873 6.4467
0.004 0.00793154 1.1615 -1835.06 -3.36826 0 14.0124 28.0249 0.0107364 3.5276 15.9904 1 25.4184 7.89779
0.003 0.00603501 0.81431 -1836.05 -4.54358 0 24.274 48.548 0.00929599 3.85369 18.3278 1 33.5723 10.6275
0.002 0.00437354 0.507048 -1837.11 -6.52195 0 52.086 104.172 0.00777665 4.38694 22.1427 1 50.2204 16.2673
0.001 0.00292569 0.895663 -1837.76 -11.1464 0 187.337 374.674 0.00594528 5.49577 30.3369 1 100.376 33.6572
