0.093 -nan -nan -nan -nan -nan -nan
0.01581 3.75817 3.75817 3.76838 3.84536 3.87439 3.88884
0.01488 3.58591 3.58591 3.5969 3.68035 3.71111 3.72642
0.01395 3.40738 3.40738 3.41925 3.51013 3.54286 3.55915
0.01302 3.22181 3.22181 3.23468 3.33416 3.36919 3.38661
0.01209 3.02826 3.02826 3.0423 3.15184 3.18955 3.2083
0.01116 2.82556 2.82556 2.84097 2.96247 3.00334 3.02367
0.01023 2.61225 2.61225 2.6293 2.76523 2.80992 2.83214
0.0093 2.38649 2.38649 2.40553 2.55927 2.60866 2.63321
0.00837 2.14591 2.14591 2.16747 2.34379 2.39913 2.42663
0.00744 1.88749 1.88749 1.91232 2.11838 2.18153 2.21289
0.00651 1.60733 1.60733 1.63664 1.88374 1.95763 1.99432
0.00558 1.31922 1.31922 1.35505 1.66239 1.75197 1.79644
0.00465 0.981707 0.981707 1.02774 1.43059 1.54485 1.60157
0.00372 0.579688 0.579688 0.643245 1.21268 1.36945 1.44726
0.00279 0.150012 0.150012 0.2473 1.14481 1.38364 1.50215
0.00186 -0.328681 -0.328681 -0.154527 1.51891 1.94553 2.15719
0.00093 -0.71327 -0.71327 -0.283855 4.16989 5.22958 5.75514
