0.093 -nan -nan -nan -nan -nan -nan
0.09207 -nan -nan -nan -nan -nan -nan
0.09114 10.371 10.3713 10.3712 10.3711 10.371 10.371
0.09021 10.3305 10.331 10.3309 10.3306 10.3305 10.3305
0.08928 10.2893 10.29 10.2898 10.2894 10.2893 10.2894
0.08835 10.248 10.2488 10.2485 10.2481 10.248 10.2481
0.08742 10.2062 10.2071 10.2068 10.2062 10.2062 10.2063
0.08649 10.1639 10.1649 10.1646 10.1639 10.1639 10.1641
0.08556 10.1211 10.1223 10.1218 10.1211 10.1212 10.1215
0.08463 10.0778 10.0791 10.0786 10.0778 10.0781 10.0784
0.0837 10.034 10.0354 10.0349 10.034 10.0344 10.0347
0.08277 9.98973 9.99121 9.99063 9.98973 9.9902 9.99064
0.08184 9.94487 9.94642 9.9458 9.94487 9.94549 9.946
0.08091 9.89945 9.90105 9.9004 9.89945 9.90022 9.90081
0.07998 9.85345 9.85508 9.8544 9.85345 9.85438 9.85506
0.07905 9.80688 9.80856 9.80784 9.80688 9.80797 9.80874
0.07812 9.75967 9.76135 9.7606 9.75967 9.76094 9.7618
0.07719 9.71181 9.71348 9.71271 9.71181 9.71328 9.71423
0.07626 9.6633 9.66493 9.66415 9.6633 9.66496 9.66602
0.07533 9.61411 9.6157 9.6149 9.61411 9.61598 9.61714
0.0744 9.56423 9.56575 9.56494 9.56423 9.56631 9.56757
0.07347 9.51364 9.51508 9.51426 9.51364 9.51593 9.51731
0.07254 9.46232 9.46366 9.46283 9.46232 9.46484 9.46632
0.07161 9.41026 9.41147 9.41064 9.41026 9.413 9.4146
0.07068 9.35731 9.35835 9.35753 9.35731 9.36029 9.362
0.06975 9.30368 9.30456 9.30376 9.30368 9.3069 9.30874
0.06882 9.24903 9.24982 9.24903 9.24915 9.25261 9.25457
0.06789 9.19359 9.19436 9.19359 9.19389 9.1976 9.19968
0.06696 9.14253 9.14326 9.14253 9.14305 9.14702 9.14923
0.06603 9.08537 9.08609 9.08537 9.08611 9.09034 9.09268
0.0651 9.02708 9.02775 9.02708 9.02809 9.03258 9.03504
0.06417 8.96795 8.96859 8.96795 8.96923 8.97399 8.97658
0.06324 8.90785 8.90845 8.90785 8.90943 8.91446 8.91718
0.06231 8.84677 8.84732 8.84677 8.84866 8.85396 8.85682
0.06138 8.78467 8.78517 8.78467 8.78689 8.79247 8.79546
0.06045 8.72154 8.72197 8.72154 8.72411 8.72997 8.7331
0.05952 8.65734 8.65771 8.65734 8.66028 8.66643 8.66969
0.05859 8.59205 8.59236 8.59205 8.59539 8.60183 8.60523
0.05766 8.52565 8.52589 8.52565 8.52941 8.53613 8.53968
0.05673 8.45812 8.45828 8.45812 8.46232 8.46933 8.47301
0.0558 8.38942 8.3895 8.38942 8.39408 8.40139 8.40521
0.05487 8.31952 8.31952 8.31952 8.32468 8.33227 8.33624
0.05394 8.24831 8.24831 8.24841 8.25408 8.26197 8.26608
0.05301 8.17586 8.17586 8.17605 8.18225 8.19044 8.1947
0.05208 8.10212 8.10212 8.10241 8.10917 8.11767 8.12206
0.05115 8.02707 8.02707 8.02746 8.03482 8.04361 8.04815
0.05022 7.95068 7.95068 7.95118 7.95915 7.96825 7.97294
0.04929 7.87291 7.87291 7.87353 7.88214 7.89154 7.89638
0.04836 7.79375 7.79375 7.79448 7.80376 7.81347 7.81845
0.04743 7.71314 7.71314 7.714 7.72398 7.73399 7.73913
0.0465 7.63107 7.63107 7.63206 7.64276 7.65308 7.65837
0.04557 7.54749 7.54749 7.54861 7.56007 7.57071 7.57614
0.04464 7.46237 7.46237 7.46363 7.47587 7.48683 7.49241
0.04371 7.37567 7.37567 7.37708 7.39014 7.40141 7.40715
0.04278 7.28737 7.28737 7.28892 7.30283 7.31442 7.32032
0.04185 7.19071 7.19071 7.19241 7.20722 7.21913 7.22518
0.04092 7.099 7.099 7.10086 7.11659 7.12883 7.13503
0.03999 7.00556 7.00556 7.00758 7.02427 7.03684 7.0432
0.03906 6.91034 6.91034 6.91253 6.93022 6.94312 6.94965
0.03813 6.8133 6.8133 6.81566 6.8344 6.84764 6.85433
0.0372 6.7144 6.7144 6.71694 6.73676 6.75035 6.7572
0.03627 6.61358 6.61358 6.61631 6.63727 6.6512 6.65823
0.03534 6.51081 6.51081 6.51372 6.53586 6.55016 6.55736
0.03441 6.40602 6.40602 6.40913 6.43251 6.44717 6.45455
0.03348 6.29916 6.29916 6.30247 6.32715 6.34218 6.34975
0.03255 6.19017 6.19017 6.19369 6.21974 6.23516 6.24291
0.03162 6.07899 6.07899 6.08274 6.11021 6.12603 6.13398
0.03069 5.96557 5.96557 5.96953 5.99851 6.01475 6.0229
0.02976 5.84982 5.84982 5.85402 5.88459 5.90126 5.90963
0.02883 5.73167 5.73167 5.73611 5.76837 5.7855 5.79408
0.0279 5.61104 5.61104 5.61574 5.64978 5.66739 5.67621
0.02697 5.48784 5.48784 5.49281 5.52875 5.54687 5.55594
0.02604 5.36197 5.36197 5.36723 5.4052 5.42386 5.4332
0.02511 5.23334 5.23334 5.23889 5.27904 5.29828 5.3079
0.02418 5.10181 5.10181 5.10768 5.15018 5.17004 5.17996
0.02325 4.96725 4.96725 4.97347 5.0185 5.03903 5.04928
0.02232 4.82952 4.82952 4.8361 4.88389 4.90514 4.91576
0.02139 4.68844 4.68844 4.69541 4.7462 4.76826 4.77926
0.02046 4.54382 4.54382 4.55121 4.6053 4.62823 4.63967
0.01953 4.39542 4.39542 4.40328 4.461 4.4849 4.49681
0.0186 4.243 4.243 4.25136 4.31311 4.33808 4.35052
0.01767 4.08624 4.08624 4.09515 4.16139 4.18756 4.20059
0.01674 3.92477 3.92477 3.93429 4.00558 4.03309 4.04679
