     0.158100000000000E-10      0.745400000000000E-10	0.157100000000000E-15 0
     0.397200000000000E-10      0.187200000000000E-09	0.768900000000000E-15  0  
     0.997600000000000E-10      0.470200000000000E-09	0.364100000000000E-14  0
     0.250600000000000E-09      0.118100000000000E-08	0.166600000000000E-13  0
     0.629400000000000E-09      0.296800000000000E-08	0.733200000000000E-13  0
     0.158100000000000E-08      0.745400000000000E-08	0.308500000000000E-12  0
     0.397200000000000E-08      0.187300000000000E-07	0.123700000000000E-11  0
     0.500000000000000E-08      0.235800000000000E-07	0.166300000000000E-11  0
     0.997600000000000E-08      0.470500000000000E-07	0.453900000000000E-11  0
     0.199000000000000E-07      0.938700000000000E-07	0.121200000000000E-10  0
     0.397200000000000E-07      0.187300000000000E-06	0.318200000000000E-10  0
     0.792400000000000E-07      0.373800000000000E-06	0.823600000000000E-10  0
     0.158100000000000E-06      0.745900000000000E-06	0.211200000000000E-09  0
     0.199000000000000E-06      0.939200000000000E-06	0.276400000000000E-09  0
     0.315500000000000E-06      0.148900000000000E-05	0.515200000000000E-09  0
     0.500000000000000E-06      0.236000000000000E-05	0.958100000000000E-09  0
     0.629400000000000E-06      0.297100000000000E-05	0.130600000000000E-08  0
     0.792400000000000E-06      0.374100000000000E-05	0.159300000000000E-08  0
     0.997600000000000E-06      0.471000000000000E-05	0.217000000000000E-08  0
     0.158100000000000E-05      0.746500000000000E-05	0.402300000000000E-08  0
     0.250600000000000E-05      0.118400000000000E-04	0.745200000000000E-08  0
     0.397200000000000E-05      0.187700000000000E-04	0.138000000000000E-07  0
     0.500000000000000E-05      0.236300000000000E-04	0.179100000000000E-07  0
     0.629400000000000E-05      0.297300000000000E-04	0.243600000000000E-07  0
     0.792400000000000E-05      0.374700000000000E-04	0.331500000000000E-07  0
     0.997600000000000E-05      0.471600000000000E-04	0.450700000000000E-07  0
     0.125600000000000E-04      0.594100000000000E-04	0.613000000000000E-07  0
     0.158100000000000E-04      0.747900000000000E-04	0.800200000000000E-07  0
     0.199000000000000E-04      0.941800000000000E-04	0.107700000000000E-06  0
     0.250600000000000E-04      0.118600000000000E-03	0.146400000000000E-06  0
     0.315500000000000E-04      0.149400000000000E-03	0.188200000000000E-06  0
     0.397200000000000E-04      0.188100000000000E-03	0.255900000000000E-06  0
     0.500000000000000E-04      0.236900000000000E-03	0.347900000000000E-06  0
     0.629400000000000E-04      0.298200000000000E-03	0.472900000000000E-06  0
     0.792400000000000E-04      0.375800000000000E-03	0.643000000000000E-06  0
     0.997600000000000E-04      0.473000000000000E-03	0.821400000000000E-06  0
     0.110500000000000E-03      0.524200000000000E-03	0.914700000000000E-06  0
     0.125600000000000E-03      0.595800000000000E-03	0.104100000000000E-05  0
     0.158100000000000E-03      0.750500000000000E-03	0.141500000000000E-05  0
     0.199000000000000E-03      0.945200000000000E-03	0.184000000000000E-05  0
     0.250600000000000E-03      0.119100000000000E-02	0.238400000000000E-05  0
     0.257200000000000E-03      0.122200000000000E-02	0.246900000000000E-05  0
     0.267000000000000E-03      0.126800000000000E-02	0.249600000000000E-05  0
     0.312600000000000E-03      0.148600000000000E-02	0.264200000000000E-05  0
     0.395100000000000E-03      0.187900000000000E-02	0.287800000000000E-05  0
     0.475900000000000E-03      0.226400000000000E-02	0.311000000000000E-05  0
     0.581200000000000E-03      0.276500000000000E-02	0.342500000000000E-05  0
     0.714300000000000E-03      0.340000000000000E-02	0.385200000000000E-05  0
     0.878600000000000E-03      0.418200000000000E-02	0.442500000000000E-05  0
     0.107700000000000E-02      0.513100000000000E-02	0.518100000000000E-05  0
     0.131400000000000E-02      0.626000000000000E-02	0.616800000000000E-05  0
     0.174800000000000E-02      0.832900000000000E-02	0.819800000000000E-05  0
     0.200000000000000E-02      0.953147962519067E-02 0.101354604286286E-04
     0.400000000000000E-02      0.190777535765506E-01 0.228554632665575E-04
     0.600000000000000E-02      0.286312530976501E-01 0.380079766073573E-04
     0.800000000000000E-02      0.381901894824327E-01 0.550355501274534E-04
     0.100000000000000E-01      0.477536353362692E-01 0.738875065247026E-04
     0.120000000000000E-01      0.573210488174452E-01 0.946145231012482E-04
     0.140000000000000E-01      0.668920989018228E-01 0.117469986367806E-03
     0.160000000000000E-01      0.764665798395557E-01 0.142605928230805E-03
     0.180000000000000E-01      0.860443675726079E-01 0.170326412503104E-03
     0.200000000000000E-01      0.956253913554658E-01 0.200935502997562E-03
     0.220000000000000E-01      0.105209614193699E+00 0.234331845109894E-03
     0.240000000000000E-01      0.114797023012563E+00 0.271022211861529E-03
     0.260000000000000E-01      0.124387615784966E+00 0.310803894043897E-03
     0.280000000000000E-01      0.133981405484298E+00 0.354132987376284E-03
     0.300000000000000E-01      0.143578400320281E+00 0.400654750743689E-03
     0.320000000000000E-01      0.153178617827261E+00 0.450774602563258E-03
     0.340000000000000E-01      0.162782069154247E+00 0.504137801719988E-03
     0.360000000000000E-01      0.172388767680044E+00 0.561099089328880E-03
     0.380000000000000E-01      0.181998718675093E+00 0.621253046972791E-03
     0.400000000000000E-01      0.191611927409832E+00 0.684853061162436E-03
